Sr.No,Smiles,Solvent,AbsorptioMax (nm),EmissionMax (nm),Fluorescent labeling,Total Molweight,molFormula,cLogP,cLogS,H-Acceptors,H-Donors,Total Surface Area,Relative PSA,Polar Surface Area,Druglikeness,Rotatable Bonds,Weiner
14,CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,CCO,400,509,Yes,285.264,C14H14F3NO2,2.7689,-3.475,3,0,204.02,0.13033,29.54,-7.2449,4,776
15,CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,OCC(O)CO,413,524,Yes,285.264,C14H14F3NO2,2.7689,-3.475,3,0,204.02,0.13033,29.54,-7.2449,4,776
16,Cc1cc(=O)oc2c3c4c(cc12)CCCN4CCC3,C1CCCCC1,361,407,Yes,255.316,C16H17NO2,2.5394,-3.373,3,0,190.34,0.1397,29.54,-5.1212,0,598
17,Cc1cc(=O)oc2c3c4c(cc12)CCCN4CCC3,CC#N,380,450,Yes,255.316,C16H17NO2,2.5394,-3.373,3,0,190.34,0.1397,29.54,-5.1212,0,598
18,Cc1cc(=O)oc2c3c4c(cc12)CCCN4CCC3,CCO,387,473,Yes,255.316,C16H17NO2,2.5394,-3.373,3,0,190.34,0.1397,29.54,-5.1212,0,598
19,Cc1cc(=O)oc2c3c4c(cc12)CCCN4CCC3,O,396,489,Yes,255.316,C16H17NO2,2.5394,-3.373,3,0,190.34,0.1397,29.54,-5.1212,0,598
20,O=c1cc(C(F)(F)F)c2cc3c4c(c2o1)CCCN4CCC3,C1CCCCC1,393,455,Yes,309.286,C16H14F3NO2,3.0237,-4.113,3,0,207.54,0.12812,29.54,-7.7745,1,892
21,O=c1cc(C(F)(F)F)c2cc3c4c(c2o1)CCCN4CCC3,CCOC(C)=O,409,501,Yes,309.286,C16H14F3NO2,3.0237,-4.113,3,0,207.54,0.12812,29.54,-7.7745,1,892
22,O=c1cc(C(F)(F)F)c2cc3c4c(c2o1)CCCN4CCC3,CC#N,418,521,Yes,309.286,C16H14F3NO2,3.0237,-4.113,3,0,207.54,0.12812,29.54,-7.7745,1,892
23,O=c1cc(C(F)(F)F)c2cc3c4c(c2o1)CCCN4CCC3,CCO,421,531,Yes,309.286,C16H14F3NO2,3.0237,-4.113,3,0,207.54,0.12812,29.54,-7.7745,1,892
24,O=c1cc(C(F)(F)F)c2cc3c4c(c2o1)CCCN4CCC3,OCC(O)CO,434,546,Yes,309.286,C16H14F3NO2,3.0237,-4.113,3,0,207.54,0.12812,29.54,-7.7745,1,892
25,CN1CCCc2cc3c(C(F)(F)F)cc(=O)oc3cc21,C1CCCCC1,382,439,Yes,283.248,C14H12F3NO2,2.4357,-3.494,3,0,192.02,0.13848,29.54,-6.4589,1,725
26,CN1CCCc2cc3c(C(F)(F)F)cc(=O)oc3cc21,CC#N,405,510,Yes,283.248,C14H12F3NO2,2.4357,-3.494,3,0,192.02,0.13848,29.54,-6.4589,1,725
27,CN1CCCc2cc3c(C(F)(F)F)cc(=O)oc3cc21,CCO,408,515,Yes,283.248,C14H12F3NO2,2.4357,-3.494,3,0,192.02,0.13848,29.54,-6.4589,1,725
28,Nc1ccc2c(C(F)(F)F)cc(=O)oc2c1,CC#N,365,465,Yes,229.157,C10H6F3NO2,1.3826,-2.915,3,1,150.2,0.25506,52.32,-9.7068,1,394
29,CCN(CC)c1ccc2cc(-c3nc4ccccc4s3)c(=O)oc2c1,CC#N,454,501,Yes,350.441,C20H18N2O2S,3.4688,-4.227,4,0,263.62,0.21971,70.67,3.7099,4,1545
30,CCN(CC)c1ccc2cc(-c3nc4ccccc4n3C)c(=O)oc2c1,CC#N,403,480,Yes,347.417,C21H21N3O2,3.0835,-3.121,5,0,269.14,0.16508,47.36,4.1136,4,1683
31,CCNc1cc2oc(=O)cc(C)c2cc1C,CC#N,354,420,Yes,217.267,C13H15NO2,1.9728,-2.803,3,1,174.22,0.19803,38.33,-6.034,2,419
32,CCNc1cc2oc(=O)cc(C(F)(F)F)c2cc1C,CC#N,383,481,Yes,271.237,C13H12F3NO2,2.4571,-3.543,3,1,191.42,0.18023,38.33,-8.7495,3,656
33,CCNc1cc2oc3c/c(=[NH+]\CC)c(C)cc-3c(-c3ccccc3C(=O)OCC)c2cc1C,CO,530,555,Yes,443.565,C28H31N2O3,5.276,-5.872,5,2,341.61,0.13027,61.53,-3.23,7,2882
34,O=C([O-])c1ccccc1-c1c2cc(Br)c(=O)c(Br)c-2oc2c(Br)c([O-])c(Br)cc12,O,515,538,Yes,645.879,C20H6Br4O5,1.8469,-7.298,5,0,311.65,0.20741,89.49,-7.9119,2,1870
35,O=C([O-])c1ccccc1-c1c2cc(I)c(=O)c(I)c-2oc2c(I)c([O-])c(I)cc12,O,521,534,Yes,833.863,C20H6I4O5,1.7755,-6.824,5,0,342.25,0.18887,89.49,0.69573,2,1870
36,O=C([O-])c1c(Cl)c(Cl)c(Cl)c(Cl)c1-c1c2cc(I)c(=O)c(I)c-2oc2c(I)c([O-])c(I)cc12,O,548,566,Yes,971.643,C20H2Cl4I4O5,4.1995,-9.768,5,0,403.93,0.16003,89.49,0.78702,2,2564
37,O=C([O-])c1ccccc1-c1c2cc(Br)c(=O)c(Br)c-2oc2c(Br)c([O-])c(Br)cc12,CO,522,542,Yes,645.879,C20H6Br4O5,1.8469,-7.298,5,0,311.65,0.20741,89.49,-7.9119,2,1870
38,O=C([O-])c1ccccc1-c1c2cc(I)c(=O)c(I)c-2oc2c(I)c([O-])c(I)cc12,CO,526,545,Yes,833.863,C20H6I4O5,1.7755,-6.824,5,0,342.25,0.18887,89.49,0.69573,2,1870
39,O=C([O-])c1c(Cl)c(Cl)c(Cl)c(Cl)c1-c1c2cc(I)c(=O)c(I)c-2oc2c(I)c([O-])c(I)cc12,CO,556,571,Yes,971.643,C20H2Cl4I4O5,4.1995,-9.768,5,0,403.93,0.16003,89.49,0.78702,2,2564
40,O=C([O-])c1ccccc1-c1c2cc(Br)c(=O)c(Br)c-2oc2c(Br)c([O-])c(Br)cc12,CCO,527,550,Yes,645.879,C20H6Br4O5,1.8469,-7.298,5,0,311.65,0.20741,89.49,-7.9119,2,1870
41,O=C([O-])c1ccccc1-c1c2cc(I)c(=O)c(I)c-2oc2c(I)c([O-])c(I)cc12,CCO,532,551,Yes,833.863,C20H6I4O5,1.7755,-6.824,5,0,342.25,0.18887,89.49,0.69573,2,1870
42,O=C([O-])c1c(Cl)c(Cl)c(Cl)c(Cl)c1-c1c2cc(I)c(=O)c(I)c-2oc2c(I)c([O-])c(I)cc12,CCO,558,573,Yes,971.643,C20H2Cl4I4O5,4.1995,-9.768,5,0,403.93,0.16003,89.49,0.78702,2,2564
43,O=C([O-])c1ccccc1-c1c2cc(Br)c(=O)c(Br)c-2oc2c(Br)c([O-])c(Br)cc12,CC(C)O,529,551,Yes,645.879,C20H6Br4O5,1.8469,-7.298,5,0,311.65,0.20741,89.49,-7.9119,2,1870
44,O=C([O-])c1ccccc1-c1c2cc(I)c(=O)c(I)c-2oc2c(I)c([O-])c(I)cc12,CC(C)O,532,557,Yes,833.863,C20H6I4O5,1.7755,-6.824,5,0,342.25,0.18887,89.49,0.69573,2,1870
45,O=C([O-])c1c(Cl)c(Cl)c(Cl)c(Cl)c1-c1c2cc(I)c(=O)c(I)c-2oc2c(I)c([O-])c(I)cc12,CC(C)O,561,576,Yes,971.643,C20H2Cl4I4O5,4.1995,-9.768,5,0,403.93,0.16003,89.49,0.78702,2,2564
46,CCC(=O)c1ccc2cc(N(C)C)ccc2c1,C1CCCCC1,342,401,Yes,227.306,C15H17NO,3.076,-4.212,2,0,186.45,0.088978,20.31,1.1649,3,532
47,CCC(=O)c1ccc2cc(N(C)C)ccc2c1,c1ccccc1,355,421,Yes,227.306,C15H17NO,3.076,-4.212,2,0,186.45,0.088978,20.31,1.1649,3,532
48,CCC(=O)c1ccc2cc(N(C)C)ccc2c1,CCN(CC)CC,343,406,Yes,227.306,C15H17NO,3.076,-4.212,2,0,186.45,0.088978,20.31,1.1649,3,532
49,CCC(=O)c1ccc2cc(N(C)C)ccc2c1,Clc1ccccc1,254,430,Yes,227.306,C15H17NO,3.076,-4.212,2,0,186.45,0.088978,20.31,1.1649,3,532
50,CCC(=O)c1ccc2cc(N(C)C)ccc2c1,CC(C)=O,350,452,Yes,227.306,C15H17NO,3.076,-4.212,2,0,186.45,0.088978,20.31,1.1649,3,532
51,CCC(=O)c1ccc2cc(N(C)C)ccc2c1,OCCO,375,515,Yes,227.306,C15H17NO,3.076,-4.212,2,0,186.45,0.088978,20.31,1.1649,3,532
52,CCC(=O)c1ccc2cc(N(C)C)ccc2c1,OCC(O)CO,370,510,Yes,227.306,C15H17NO,3.076,-4.212,2,0,186.45,0.088978,20.31,1.1649,3,532
53,CCC(=O)c1ccc2cc(N(C)C)ccc2c1,O,364,531,Yes,227.306,C15H17NO,3.076,-4.212,2,0,186.45,0.088978,20.31,1.1649,3,532
54,c1ccc2ccccc2c1,C1CCCCC1,286,324,Yes,128.174,C10H8,2.854,-3.222,0,0,107.86,0,0,-2.3575,0,109
55,C[Si](C)(C)c1cccc2ccccc12,C1CCCCC1,294,328,Yes,200.356,C13H16Si,4.6675,-3.611,0,0,158.14,0,0,-48.348,1,272
56,C[SiH](C)c1cccc2ccccc12,C1CCCCC1,294,328,Yes,186.329,C12H14Si,3.9708,-3.421,0,0,139.13,0,0,-32.708,1,226
57,CCCC[Si](C)(C)c1cccc2ccccc12,C1CCCCC1,294,329,Yes,242.437,C16H22Si,5.8279,-6.442,0,0,199.42,0,0,-68.678,4,498
58,CC(C)(C)[Si](C)(C)c1cccc2ccccc12,C1CCCCC1,295,329,Yes,242.437,C16H22Si,5.4366,-4.102,0,0,193.07,0,0,-60.784,2,458
59,CCCCCCCC[Si](C)(C)c1cccc2ccccc12,C1CCCCC1,294,329,Yes,298.544,C20H30Si,7.6455,-7.522,0,0,254.46,0,0,-84.378,8,1042
60,C[Si](C)(C)c1ccc([Si](C)(C)C)c2ccccc12,C1CCCCC1,300,333,Yes,272.539,C16H24Si2,6.481,-4,0,0,208.42,0,0,-48.348,2,539
61,C[SiH](C)c1ccc([SiH](C)C)c2ccccc12,C1CCCCC1,300,333,Yes,244.485,C14H20Si2,5.0876,-3.62,0,0,170.4,0,0,-32.708,2,400
62,CC(C)(C)[Si](C)(C)c1ccc([Si](C)(C)C(C)(C)C)c2ccccc12,C1CCCCC1,302,335,Yes,356.7,C22H36Si2,8.0192,-4.982,0,0,278.28,0,0,-60.784,4,1178
63,COc1ccc([Si](C)(C)C)c2ccccc12,C1CCCCC1,312,327,Yes,230.382,C14H18OSi,4.5975,-3.629,1,0,180.4,0.055432,9.23,-48.075,2,395
64,C[Si](C)(C)c1ccc(C#N)c2ccccc12,C1CCCCC1,315,333,Yes,225.366,C14H15NSi,4.5031,-4.384,1,0,179.85,0.075396,23.79,-52.04,1,395
65,C[Si](C)(C)c1cccc2c(C#N)cccc12,C1CCCCC1,311,333,Yes,225.366,C14H15NSi,4.5031,-4.384,1,0,179.85,0.075396,23.79,-52.04,1,395
66,C[Si](C)(C)C#Cc1cccc2ccccc12,C1CCCCC1,316,336,Yes,224.378,C15H16Si,5.2063,-3.767,0,0,187.94,0,0,-57.824,1,443
67,C[Si](C)(C)C#Cc1ccc(C#C[Si](C)(C)C)c2ccccc12,C1CCCCC1,347,352,Yes,320.583,C20H24Si2,7.5586,-4.312,0,0,268.02,0,0,-57.824,2,1101
68,CCCCCCCCCCCCn1cccc1/C=C/c1cc(OCCCC)c(/C=C/c2cccn2CCCCCCCCCCCC)cc1OCCCC,Cc1ccccc1,411,472,Yes,741.197,C50H80N2O2,15.982,-10.436,4,0,678.5,0.049727,28.32,-18.26,34,1.62E+04
69,CCCCCCCCCCCCn1cccc1/C=C/c1ccc(OCCCC)c2c(/C=C/c3cccn3CCCCCCCCCCCC)ccc(OCCCC)c12,Cc1ccccc1,375,490,Yes,791.257,C54H82N2O2,17.177,-12.042,4,0,713.1,0.047315,28.32,-18.26,34,1.86E+04
70,CCCCCCCCCCCCn1cccc1/C=C/c1ccc(/C=C/c2cccn2CCCCCCCCCCCC)cc1,Cc1ccccc1,398,443,Yes,596.984,C42H64N2,13.492,-8.72,2,0,551.42,0.024917,9.86,-15.109,26,1.10E+04
72,CCCCCCCCc1ccc(-c2ccc(/C=C(\C#N)c3ccc(-c4cccc5cccc(-c6ccc(/C(C#N)=C/c7ccc(-c8ccc(CCCCCCCC)cc8)cc7)cc6)c45)cc3)cc2)cc1,Cc1ccccc1,350,491,Yes,911.286,C68H66N2,19.809,-19.838,2,0,776.42,0.03493,47.58,-23.101,22,3.47E+04
73,CCC12C(=C3C(=C4c5ccc(-c6ccc(C)s6)cc5S(=O)(=O)C41CC)C(F)(F)C(F)(F)C3(F)F)c1ccc(-c3ccc(C)s3)cc1S2(=O)=O,CCCCCC,489,560,Yes,752.839,C35H26F6O4S4,8.838,-11.624,4,0,460.13,0.21272,141.52,-42.834,4,7090
74,CCC12C(=C3C(=C4c5ccc(-c6ccc(C)s6)cc5S(=O)(=O)C41CC)C(F)(F)C(F)(F)C3(F)F)c1ccc(-c3ccc(C)s3)cc1S2(=O)=O,ClC(Cl)(Cl)Cl,497.35,571.87,Yes,752.839,C35H26F6O4S4,8.838,-11.624,4,0,460.13,0.21272,141.52,-42.834,4,7090
75,CCC12C(=C3C(=C4c5ccc(-c6ccc(C)s6)cc5S(=O)(=O)C41CC)C(F)(F)C(F)(F)C3(F)F)c1ccc(-c3ccc(C)s3)cc1S2(=O)=O,C1COCCO1,506,591,Yes,752.839,C35H26F6O4S4,8.838,-11.624,4,0,460.13,0.21272,141.52,-42.834,4,7090
76,CCC12C(=C3C(=C4c5ccc(-c6ccc(C)s6)cc5S(=O)(=O)C41CC)C(F)(F)C(F)(F)C3(F)F)c1ccc(-c3ccc(C)s3)cc1S2(=O)=O,ClCCl,507.67,599.78,Yes,752.839,C35H26F6O4S4,8.838,-11.624,4,0,460.13,0.21272,141.52,-42.834,4,7090
77,CCC12C(=C3C(=C4c5ccc(-c6ccc(C)s6)cc5S(=O)(=O)C41CC)C(F)(F)C(F)(F)C3(F)F)c1ccc(-c3ccc(C)s3)cc1S2(=O)=O,CCO,508,618,Yes,752.839,C35H26F6O4S4,8.838,-11.624,4,0,460.13,0.21272,141.52,-42.834,4,7090
78,CCC12C(=C3C(=C4c5ccc(-c6ccc(C)s6)cc5S(=O)(=O)C41CC)C(F)(F)C(F)(F)C3(F)F)c1ccc(-c3ccc(C)s3)cc1S2(=O)=O,CC#N,507,633,Yes,752.839,C35H26F6O4S4,8.838,-11.624,4,0,460.13,0.21272,141.52,-42.834,4,7090
79,CCC12C(=C3C(=C4c5ccc(-c6ccc(C)s6)cc5S(=O)(=O)C41CC)C(F)(F)C(F)(F)C3(F)F)c1ccc(-c3ccc(C)s3)cc1S2(=O)=O,CS(C)=O,525.37,663.08,Yes,752.839,C35H26F6O4S4,8.838,-11.624,4,0,460.13,0.21272,141.52,-42.834,4,7090
80,ClP1(Cl)=NP(Cl)(Cl)=NP(Cl)(Oc2ccc3ccc4cccc5ccc2c3c45)=N1,ClCCl,343,417,Yes,529.454,C16H9Cl5N3OP3,4.448,-6.74,4,0,311.59,0.17603,77.33,-16.14,2,1853
81,ClP1(Cl)=N[P@@](Cl)(Oc2ccc3ccc4cccc5ccc2c3c45)=N[P@@](Cl)(Oc2ccc3ccc4cccc5ccc2c3c45)=N1,ClCCl,343,455,Yes,711.248,C32H18Cl4N3O2P3,8.896,-12.95,5,0,445.31,0.14563,86.56,-16.14,4,6671
82,ClP1(Cl)=N[P@](Cl)(Oc2ccc3ccc4cccc5ccc2c3c45)=N[P@@](Cl)(Oc2ccc3ccc4cccc5ccc2c3c45)=N1,ClCCl,343,419,Yes,711.248,C32H18Cl4N3O2P3,8.896,-12.95,5,0,445.31,0.14563,86.56,-16.14,4,6671
83,c1ccc2c(c1)OP1(=NP3(=NP(Oc4ccc5ccc6cccc7ccc4c5c67)(Oc4ccc5ccc6cccc7ccc4c5c67)=N1)Oc1ccccc1-c1ccccc1O3)Oc1ccccc1-2,ClCCl,343,463,Yes,937.823,C56H34N3O6P3,14.567,-21.966,9,0,635.67,0.16494,123.48,-11.062,4,1.75E+04
84,c1ccc2c(c1)OP1(=NP(Oc3ccc4ccc5cccc6ccc3c4c56)(Oc3ccc4ccc5cccc6ccc3c4c56)=NP(Oc3ccc4ccc5cccc6ccc3c4c56)(Oc3ccc4ccc5cccc6ccc3c4c56)=N1)Oc1ccccc1-2,ClCCl,343,457,Yes,1188.12,C76H44N3O6P3,20.628,-29.878,9,0,807.93,0.12978,123.48,-11.062,8,3.38E+04
85,c1cc2ccc3ccc(OP4(Oc5ccc6ccc7cccc8ccc5c6c78)=NP(Oc5ccc6ccc7cccc8ccc5c6c78)(Oc5ccc6ccc7cccc8ccc5c6c78)=NP(Oc5ccc6ccc7cccc8ccc5c6c78)(Oc5ccc6ccc7cccc8ccc5c6c78)=N4)c4ccc(c1)c2c34,ClCCl,343,459,Yes,1438.42,C96H54N3O6P3,26.688,-37.79,9,0,980.19,0.10697,123.48,-11.18,12,5.58E+04
86,CCCCC(CC)CN1C(=O)C2=C(c3ccc(-c4ccc(C5=C6C(C)=CC(C)=[N+]6[B-](F)(F)n6c(C)cc(C)c65)cc4)s3)N(CC(CC)CCCC)C(=O)C2=C1c1cccs1,Cc1ccccc1,580,623,Yes,846.957,C49H57BF2N4O2S2,12.016,-12.643,6,0,638.66,0.13326,113.71,-2.1113,16,1.59E+04
87,CCCCC(CC)CN1C(=O)C2=C(c3ccc(-c4ccc(C5=C6C(C)=CC(C)=[N+]6[B-](F)(F)n6c(C)cc(C)c65)cc4)s3)N(CC(CC)CCCC)C(=O)C2=C1c1ccc(-c2ccc(C3=C4C(C)=CC(C)=[N+]4[B-](F)(F)n4c(C)cc(C)c43)cc2)s1,Cc1ccccc1,615,637,Yes,1169.12,C68H74B2F4N6O2S2,15.715,-19.352,8,0,865.84,0.11124,130.32,-2.7177,18,4.05E+04
88,CN(C)c1ccc2nc3ccc(N(C)C)cc3[s+]c2c1,O,664,683,Yes,284.406,C16H18N3S,2.5517,-3.442,3,0,198.65,0.090964,19.37,0.40939,2,805
89,CN(C)c1ccc2nc3ccc(N(C)C)cc3[s+]c2c1,CC#N,655,672,Yes,284.406,C16H18N3S,2.5517,-3.442,3,0,198.65,0.090964,19.37,0.40939,2,805
90,CN(C)c1ccc2nc3ccc(N(C)C)cc3[s+]c2c1,CCO,655,680,Yes,284.406,C16H18N3S,2.5517,-3.442,3,0,198.65,0.090964,19.37,0.40939,2,805
91,CN(C)c1ccc2nc3ccc(N(C)C)cc3[s+]c2c1,OCC(O)CO,662,682,Yes,284.406,C16H18N3S,2.5517,-3.442,3,0,198.65,0.090964,19.37,0.40939,2,805
92,COc1ccccc1-c1nc(-c2ccccc2)c2ccccn12,CC#N,374,479,Yes,300.36,C20H16N2O,4.081,-6.579,3,0,239.05,0.12098,26.53,1.3482,3,1103
93,C(=C/c1nc(-c2ccccc2)c2ccccn12)\c1nc(-c2ccccc2)c2ccccn12,CC#N,438,491,Yes,412.495,C28H20N4,5.3424,-7.92,4,0,327.06,0.1157,34.6,1.3444,4,2994
94,O=C(O)c1ccccc1-c1nc(-c2ccccc2)c2ccccn12,CC#N,357,494,Yes,314.343,C20H14N2O2,3.4657,-6.574,4,1,240.89,0.18706,54.6,1.3433,3,1232
95,O=C(O)c1ccc(-c2nc(-c3ccccc3)c3ccccn23)cc1,CC#N,372,501,Yes,314.343,C20H14N2O2,3.4657,-6.574,4,1,240.89,0.18706,54.6,1.3433,3,1322
96,O=C(O)c1ccc(-c2nc(-c3ccccc3)c3c4ccccc4ccn23)cc1,CC#N,353,473,Yes,364.403,C24H16N2O2,4.6601,-8.18,4,1,275.49,0.16356,54.6,1.082,3,1924
97,O=C(O)c1ccc(-c2ccc(-c3nc(-c4ccccc4)c4ccccn34)cc2)s1,CC#N,362,485,Yes,396.469,C24H16N2O2S,5.2306,-8.691,4,1,296.59,0.22057,82.84,3.3243,4,2370
98,O=C1c2cccc3cc4ccccc4c(c23)C(=O)N1Cc1ccccn1,CCO,436,500,Yes,338.365,C22H14N2O2,3.8536,-5.389,4,0,247.04,0.16435,50.27,2.8865,2,1473
99,O=C1c2cccc3c(NCc4ccccn4)c4ccccc4c(c23)C(=O)N1Cc1ccccn1,CCO,533,615,Yes,444.493,C28H20N4O2,3.9718,-6.001,6,1,330.78,0.19055,75.19,3.126,5,3221
100,CCCCCCCCCCCCN1C(=O)c2cccc3c(N(Cc4ccccn4)Cc4ccccn4)c4ccccc4c(c23)C1=O,CCO,488,597,Yes,612.815,C40H44N4O2,9.1715,-8.977,6,0,493.24,0.11175,66.4,-14.382,16,8261
101,CC(=O)N(Cc1ccccn1)c1c2ccccc2c2c3c(cccc13)C(=O)N(Cc1ccccn1)C2=O,CCO,437,509,Yes,486.53,C30H22N4O3,4.2779,-6.259,7,0,359.63,0.18953,83.47,3.1412,5,3878
102,O=C1c2cccc3cc4ccccc4c(c23)C(=O)N1Cc1ccccn1,CCCCCC,427,465,Yes,338.365,C22H14N2O2,3.8536,-5.389,4,0,247.04,0.16435,50.27,2.8865,2,1473
103,O=C1c2cccc3cc4ccccc4c(c23)C(=O)N1Cc1ccccn1,Cc1ccccc1,435,483,Yes,338.365,C22H14N2O2,3.8536,-5.389,4,0,247.04,0.16435,50.27,2.8865,2,1473
104,O=C1c2cccc3cc4ccccc4c(c23)C(=O)N1Cc1ccccn1,ClCCl,437,490,Yes,338.365,C22H14N2O2,3.8536,-5.389,4,0,247.04,0.16435,50.27,2.8865,2,1473
105,O=C1c2cccc3cc4ccccc4c(c23)C(=O)N1Cc1ccccn1,C1CCOC1,432,485,Yes,338.365,C22H14N2O2,3.8536,-5.389,4,0,247.04,0.16435,50.27,2.8865,2,1473
106,O=C1c2cccc3c(NCc4ccccn4)c4ccccc4c(c23)C(=O)N1Cc1ccccn1,CCCCCC,497,594,Yes,444.493,C28H20N4O2,3.9718,-6.001,6,1,330.78,0.19055,75.19,3.126,5,3221
107,O=C1c2cccc3c(NCc4ccccn4)c4ccccc4c(c23)C(=O)N1Cc1ccccn1,Cc1ccccc1,517,606,Yes,444.493,C28H20N4O2,3.9718,-6.001,6,1,330.78,0.19055,75.19,3.126,5,3221
108,O=C1c2cccc3c(NCc4ccccn4)c4ccccc4c(c23)C(=O)N1Cc1ccccn1,ClCCl,527,611,Yes,444.493,C28H20N4O2,3.9718,-6.001,6,1,330.78,0.19055,75.19,3.126,5,3221
109,O=C1c2cccc3c(NCc4ccccn4)c4ccccc4c(c23)C(=O)N1Cc1ccccn1,C1CCOC1,520,609,Yes,444.493,C28H20N4O2,3.9718,-6.001,6,1,330.78,0.19055,75.19,3.126,5,3221
110,CCCCCCCCCCCCN1C(=O)c2cccc3c(N(Cc4ccccn4)Cc4ccccn4)c4ccccc4c(c23)C1=O,CCCCCC,480,555,Yes,612.815,C40H44N4O2,9.1715,-8.977,6,0,493.24,0.11175,66.4,-14.382,16,8261
111,CCCCCCCCCCCCN1C(=O)c2cccc3c(N(Cc4ccccn4)Cc4ccccn4)c4ccccc4c(c23)C1=O,Cc1ccccc1,492,573,Yes,612.815,C40H44N4O2,9.1715,-8.977,6,0,493.24,0.11175,66.4,-14.382,16,8261
112,CCCCCCCCCCCCN1C(=O)c2cccc3c(N(Cc4ccccn4)Cc4ccccn4)c4ccccc4c(c23)C1=O,ClCCl,500,587,Yes,612.815,C40H44N4O2,9.1715,-8.977,6,0,493.24,0.11175,66.4,-14.382,16,8261
113,CCCCCCCCCCCCN1C(=O)c2cccc3c(N(Cc4ccccn4)Cc4ccccn4)c4ccccc4c(c23)C1=O,C1CCOC1,497,583,Yes,612.815,C40H44N4O2,9.1715,-8.977,6,0,493.24,0.11175,66.4,-14.382,16,8261
114,CC(=O)N(Cc1ccccn1)c1c2ccccc2c2c3c(cccc13)C(=O)N(Cc1ccccn1)C2=O,CCCCCC,432,486,Yes,486.53,C30H22N4O3,4.2779,-6.259,7,0,359.63,0.18953,83.47,3.1412,5,3878
115,CC(=O)N(Cc1ccccn1)c1c2ccccc2c2c3c(cccc13)C(=O)N(Cc1ccccn1)C2=O,Cc1ccccc1,437,491,Yes,486.53,C30H22N4O3,4.2779,-6.259,7,0,359.63,0.18953,83.47,3.1412,5,3878
116,CC(=O)N(Cc1ccccn1)c1c2ccccc2c2c3c(cccc13)C(=O)N(Cc1ccccn1)C2=O,ClCCl,439,497,Yes,486.53,C30H22N4O3,4.2779,-6.259,7,0,359.63,0.18953,83.47,3.1412,5,3878
