Sr.No,Smiles,Solvent,AbsorptionMax (nm),EmissionMax (nm),Fluorescent labeling,Total Molweight,molFormula,cLogP,cLogS,H-Acceptors,H-Donors,Total Surface Area,Relative PSA,Polar Surface Area,Druglikeness,Rotatable Bonds,Weiner
5426,c1ccc2c(c1)c1ccccc1n2-c1ccc2c(c1)c1ccccc1n2-c1cc2c3ccccc3n3c4ccccc4c(c1)c23,C1CCOC1,344,402.09,Yes,571.681,C42H25N3,10.232,-17.723,3,0,414.21,0.052365,14.27,0.1816,2,6704
5794,Clc1cc(Cl)c(B2c3ccccc3Nc3ccccc32)c(Cl)c1,ClCCl,396,413,Yes,358.462,C18H11BCl3N,5.8456,-5.945,1,1,251.6,0.045548,12.03,-6.9954,1,1024
5786,C(=C/c1cc(/C=C/c2ccc(-n3c4ccccc4c4ccccc43)cc2)cc(/C=C/c2ccc(-n3c4ccccc4c4ccccc43)cc2)c1)\c1ccc(-n2c3ccccc3c3ccccc32)cc1,ClCCl,344,419,Yes,880.104,C66H45N3,16.737,-23.969,3,0,686.52,0.030021,14.79,0.2025,9,27600
15366,c1ccc2c(c1)-c1ccccc1C21c2ccccc2-c2oc3c(c21)C1(c2ccccc2-c2ccccc21)c1ccccc1-3,C1CCOC1,367,393,Yes,544.652,C42H24O,9.5947,-20.262,1,0,388.33,0.036335,13.14,-0.76562,0,4723
14991,CCCCCOc1ccc2c(c1)c1ccc3cccc4c5cccc6oc(=O)c2c(c65)c1c34,C1CCOC1,426,462,Yes,430.502,C30H22O3,8.4486,-10.796,3,0,313.39,0.10543,35.53,-9.9006,5,2816
9190,CCc1ccc(/C=N/c2cc(C(C)C)c(O)cc2C)cc1,OCCO,346,429,Yes,281.398,C19H23NO,4.9781,-4.58,2,1,239.43,0.10279,32.59,-0.9969,4,1030
6086,CC1=[N+]2C(=Cc3ccc(C)n3[B-]2(F)F)C=C1c1cc2n(c1)[B-](F)(F)[N+]1=CC=CC1=C2c1c(C)cc(C)cc1C,C1CCCCC1,592.5,636,Yes,528.167,C29H26B2F4N4,3.8259,-10.086,4,0,376.69,0.059518,33.22,-2.0568,2,4473
4362,C[N+]1=C(/C=C/C=C2/N(CCC[N+](C)(C)C)c3ccc(Br)cc3C2(C)C)C(C)(C)c2ccccc21,CS(C)=O,556,568,Yes,522.573,C30H40BrN3,2.7631,-6.067,3,0,365.23,-0.025381,6.25,-0.34167,6,3482
14440,CCC1=C(C)C(=O)n2c1cc1[nH]c(C(=O)OC(C)(C)C)c(C)c1c2=O,ClC(Cl)Cl,397,453,Yes,342.394,C19H22N2O4,2.9937,-3.453,6,1,254.74,0.26168,79.47,-19.964,4,1402
3562,CCCCN(CCCC)c1ccc2nc3c4ccccc4c(=O)c(-c4cccc5ccccc45)c-3oc2c1,ClCCl,552,620,Yes,500.64,C34H32N2O2,7.7182,-8.641,4,0,391.4,0.097343,41.9,1.7383,8,4402
11355,N#Cc1cc(N)cc(C#N)c1,O,330,408,Yes,143.149,C8H5N3,0.6535,-3.238,3,1,125.2,0.33858,73.6,-6.085,0,154
3703,COc1cc2cc(OC)c(C#Cc3ccc([N+](=O)[O-])cc3)cc2cc1C#Cc1ccc([N+](=O)[O-])cc1,ClC(Cl)Cl,362,577,Yes,478.459,C28H18N2O6,5.2388,-6.25,8,0,378.84,0.21339,110.1,-10.868,6,4703
5959,CC(C)(C)c1ccc(C(C)(C)C)c(N2C(=O)c3cccc4c(-c5ccc(-c6ccccc6)s5)ccc(c34)C2=O)c1,CO,403,572,Yes,543.729,C36H33NO2S,10.428,-11.51,3,0,409.76,0.122,65.62,-0.16596,5,5144
3693,COc1ccc2cc(-c3ccc([N+](=O)[O-])cc3)ccc2c1,CC#N,341,647,Yes,279.294,C17H13NO3,3.5216,-5.786,4,0,213.55,0.18928,55.05,-7.1382,3,1004
12594,Oc1c(-c2cccs2)cccc1-c1nc2ccccc2s1,O,346,587,Yes,309.412,C17H11NOS2,4.8288,-4.888,2,1,224.37,0.28876,89.6,1.8268,2,904
2999,F[B-]1(F)n2cccc2C=C2C=CC=[N+]21,CO,497,505,Yes,191.976,C9H7BF2N2,0.5219,-3.963,2,0,137.25,0.081676,16.61,-3.1773,0,251
11343,N#Cc1cccc(N)c1,O,307,392,Yes,118.139,C7H6N2,0.8179,-2.465,2,1,103.49,0.27858,49.81,-6.085,0,88
1856,CCCCCCCCCCC1(CCCCCCCCCC)c2cc(-c3nc4ccccc4s3)ccc2-c2ccc(N3C(=O)c4ccc5c6ccc7c8c(ccc(c9ccc(c4c59)C3=O)c86)C(=O)N(c3ccc4c(c3)C(CCCCCCCCCC)(CCCCCCCCCC)c3cc(-c5nc6ccccc6s5)ccc3-4)C7=O)cc21,Cc1ccccc1,529,536,Yes,1546.19,C104H112N4O4S2,32.171,-29.01,8,0,1208.7,0.10087,157.02,-14.887,40,97400
1381,c1ccc(-c2nc(-c3c4ccccc4cc4ccccc34)n3ccccc23)cc1,C1CCCCC1,375,500,Yes,370.454,C27H18N2,6.5398,-9.773,2,0,285.99,0.066156,17.3,1.3444,2,1963
4221,CCN(CC)c1ccc(-c2nc3cc(C(NC(=O)OC(C)(C)C)C(=O)OC)ccc3o2)c(O)c1,CC#N,364,394,Yes,469.536,C25H31N3O6,3.8785,-5.88,9,2,363.67,0.27297,114.13,-54.311,10,3797
15822,COc1ccc(-n2c3c4ccccc4nc(-c4ccc(C#N)cc4)c3c3c2c2c(-c4ccc(C#N)cc4)nc4ccccc4c2n3-c2ccc(OC)cc2)cc1,ClC(Cl)Cl,315,513,Yes,722.806,C48H30N6O2,9.7662,-17.19,8,0,549.16,0.15078,101.68,-3.4489,6,10600
4844,Cn1cc(/C=C/C(=O)c2ccccc2)c2ccccc21,CO,391.71,446.19,Yes,261.323,C18H15NO,3.476,-4.028,2,0,213.33,0.09333,22,2.1063,3,867
6818,CN1CCN(c2ccc3c4c(cccc24)C(=O)c2ccccc2-3)CC1,CCCCCCCCO,451,626,Yes,328.414,C22H20N2O,4.1487,-5.927,3,0,246.27,0.08178,23.55,7.3736,1,1346
10669,CCCCN1C(=O)c2cccc3c(N(C)C)ccc(c23)C1=O,Cc1ccccc1,403,486,Yes,296.369,C18H20N2O2,3.3995,-4.107,4,0,228.52,0.1452,40.62,2.0135,4,953
5736,CCCCn1c2ccc(C#N)cc2c2cc(C#N)cc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)c21,ClCCl,352,447,Yes,516.646,C36H28N4,8.2383,-11.658,4,0,418.2,0.089766,55.75,-4.38,7,5242
2538,CCCCCCC(CCCCCC)N1C(=O)c2cccc3c(-c4ccc(OC)c5ccccc45)ccc(c23)C1=O,CCCCCCCCCCCO,323.8,532.4,Yes,535.726,C36H41NO3,10.281,-10.319,4,0,431.4,0.091864,46.61,-13.035,13,5356
12998,CCCCCC(CC)C1(C(CC)CCCCC)c2ccccc2-c2ccc(C#Cc3cc(C#Cc4ccc5c(c4)C(C(CC)CCCCC)(C(CC)CCCCC)c4ccccc4-5)c4ccc5c(C#Cc6ccc7c(c6)C(C(CC)CCCCC)(C(CC)CCCCC)c6ccccc6-7)cc(C#Cc6ccc7c(c6)C(C(CC)CCCCC)(C(CC)CCCCC)c6ccccc6-7)c6ccc3c4c65)cc21,C1CCCCC1,486,507,Yes,1852.89,C140H170,46.548,-33.548,0,0,1584.1,0,0,-13.917,52,140000
7577,CN(C)c1ccc(C#Cc2ccc(C#N)cc2)cc1,CC1CCCO1,368.19,468.01,Yes,246.312,C17H14N2,3.5756,-3.461,2,0,219.35,0.078003,27.03,-7.6306,2,848
2614,COC(=O)C(Cc1ccc2oc(-c3ccc4c(c3)c3ccccc3n4-c3ccccc3)nc2c1)NC(=O)OC(C)(C)C,COCCOC,326.8,382,Yes,561.636,C34H31N3O5,6.8366,-11.274,8,1,426.9,0.20963,95.59,-54.86,9,6779
13160,Cc1cc(N2c3ccccc3C3(c4ccccc4-c4ccccc43)c3ccccc32)c(C)cc1-c1nc(-c2ccccc2)nc(-c2ccccc2)n1,Cc1ccccc1,382.89,486,Yes,666.826,C48H34N4,10.834,-20.004,4,0,506.09,0.072043,41.91,0.29456,4,9991
5821,Nc1ccc2c(C(F)(F)F)cc(=O)oc2c1,CN(C)C=O,378,480,Yes,229.157,C10H6F3NO2,1.3826,-2.915,3,1,150.2,0.25506,52.32,-9.7068,1,394
14970,COc1ccc(C2=[N+]3C(=C(c4ccc(C#N)cc4)c4cc(-c5ccc(C#N)cc5)c(-c5ccc(OC)cc5)n4[B-]3(F)F)C=C2c2ccc(C#N)cc2)cc1,C1CCOC1,618,676,Yes,707.546,C44H28BF2N5O2,7.5332,-13.952,7,0,540.33,0.13305,106.44,-6.9709,7,10300
7007,COc1ccc(/C=C/C2=[O+][B-](F)(F)OC(/C=C/c3ccc(OC)cc3)=C2c2ccccc2)cc1,CC#N,500,564,Yes,460.283,C27H23BF2O4,5.4391,-4.838,4,0,347.42,0.086351,27.69,-8.2114,7,3638
4231,COC(=O)C(NC(=O)OC(C)(C)C)c1ccc2oc(-c3cc(OC)c(OC)c(OC)c3)nc2c1,CC1CCCCC1,327,345,Yes,472.492,C24H28N2O8,3.3052,-5.594,10,1,361.76,0.31131,118.35,-56.188,10,3678
8352,CC(C)(C)c1ccc2oc(-c3ccc(-c4nc5cc(C(C)(C)C)ccc5o4)s3)nc2c1,CCO,373,434,Yes,430.57,C26H26N2O2S,8.3956,-9.858,4,0,329.2,0.21422,80.3,-1.8115,4,2987
12641,COc1cccc(-n2c(-c3ccccc3)nc(C)c2C)c1,ClCCl,282,364,Yes,278.354,C18H18N2O,3.651,-6.619,3,0,227.52,0.12236,27.05,-0.8497,3,876
3838,Cc1ccc(C)c(C)c1,C1CCCCC1,263.78,295.77,Yes,120.194,C9H12,2.6913,-2.648,0,0,110.04,0,0,-2.4599,0,84
14379,COCCOCCOCCOc1cc(C=O)c(OCCOCCOCCOC)cc1C=O,NC=O,354,458,Yes,458.502,C22H34O10,0.8312,-1.826,10,0,381.98,0.27771,107.98,-15.754,22,4162
10106,CC1=[N+]2C(=C(c3ccc(N(C)C)cc3)c3ccc(C)n3[B-]2(F)F)C=C1,ClC(Cl)Cl,509,615,Yes,339.196,C19H20BF2N3,2.5731,-5.786,3,0,252.77,0.058393,19.85,-0.9232,2,1330
10289,CCn1c2ccccc2c2cc(-c3cc(-c4ccc5c(c4)c4ccccc4n5CC)nc(C#N)n3)ccc21,CN(C)C=O,387,455,Yes,491.597,C33H25N5,6.8121,-7.613,5,0,380.85,0.12929,59.43,-3.0591,4,4668
15189,CN(C)c1ccc(C2=C3C=C(c4ccc(C=C(C#N)C#N)cc4)S[C@]34c3ccccc3[C@H]2c2ccccc24)cc1,ClCCl,558,748,Yes,531.682,C36H25N3S,6.8386,-8.301,3,0,403.02,0.1195,76.12,-5.9793,4,5029
1544,COc1ccc2c(c1)N(c1ccc(C)cc1)c1cc3c(cc1=N2)Oc1c(cc(C(C)(C)C)cc1C(C)(C)C)N=3,CCCCCC,562,586,Yes,517.671,C34H35N3O2,7.7518,-8.758,5,0,396.84,0.11735,46.42,-1.6506,4,4652
1692,CCCCc1ccc2ccc3c(CCCC)ccc4ccc1c2c43,CO,344,381,Yes,314.47,C24H26,8.0262,-8.158,0,0,259.72,0,0,-7.9676,6,1262
5172,CN(C)c1c2ccccc2cc2ccccc12,CS(C)=O,390,395,Yes,221.302,C16H15N,3.9448,-4.864,1,0,177.28,0.020025,3.24,0.40939,1,452
2825,CCN(CC)c1ccc(/C=C/C2=[O+][B-](F)(F)Oc3c2c(=O)oc2cc(N(CC)CC)ccc32)cc1,OCC(O)CO,610,654,Yes,482.333,C26H29BF2N2O4,4.6383,-4.377,6,0,355.57,0.11289,42.01,-5.0412,8,4008
15006,CCCCCOc1cc2oc(=O)c3c4occc4c4ccc5cccc6c(c1)c2c3c4c56,C1CCOC1,422,433,Yes,420.463,C28H20O4,7.7058,-10.349,4,0,303.08,0.15557,48.67,-9.7795,5,2539
1505,CC1CC=C(c2ccc(-c3ccc(C=O)s3)s2)CC1,OCCOCCO,394,508,Yes,288.434,C16H16OS2,5.105,-5.511,1,0,221.69,0.2425,73.55,-3.1073,3,762
10525,CCCCCCCCN1c2ccccc2Sc2cc(/C=C/c3ccc(N(c4ccc(/C=C/c5ccc6c(c5)Sc5ccccc5N6CCCCCCCC)cc4)c4ccc(/C=C/c5ccc(/C=C/c6ccc(N(c7ccc(/C=C/c8ccc(N(c9ccccc9)c9ccccc9)cc8)cc7)c7ccc(/C=C/c8ccc(N(c9ccccc9)c9ccccc9)cc8)cc7)cc6)c6nsnc56)cc4)cc3)ccc21,ClCCl,533,708,Yes,1884.59,C130H114N8S3,36.435,-37.12,8,0,1503.4,0.06557,124.06,-14.43,38,216000
6963,F[Si-](F)(c1ccccc1)(c1ccccc1)c1cc2ccccc2c2ccccc12,C1CCOC1,303,359,Yes,397.519,C26H19F2Si,6.5378,-6.457,0,0,294.93,0,0,-2.3575,3,1836
1693,CCCCc1ccc2ccc3c(CCCC)cc(CCCC)c4ccc1c2c34,CCCCCC,352,384,Yes,370.578,C28H34,9.6945,-9.201,0,0,313.26,0,0,-7.9676,9,1904
5481,O=c1c2ccccc2sc2ccc(-n3c4ccccc4c4ccccc43)cc12,ClC(Cl)Cl,388,486.5,Yes,377.466,C25H15NOS,6.5778,-9.731,2,0,272.92,0.13704,47.3,0.9808,1,1879
12818,CN1C(=CC2=C([S-])C(=CC3=[N+](C)c4ccccc4C3(C)C)C2=O)C(C)(C)c2ccccc21,ClC(Cl)Cl,650,663,Yes,444.641,C28H28N2OS,4.9941,-6.942,3,0,296.65,0.038395,23.32,1.6457,4,2928
14620,CCC1=C(C)C(=O)n2c1cc1c(C)c(CC(=O)OC)c(C)n1c2=O,ClC(Cl)Cl,423,490,Yes,328.367,C18H20N2O4,3.0599,-3.268,6,0,245.46,0.24256,68.61,-1.5261,4,1215
3801,[C-]#[N+]c1ccc(-c2ccc(N(C)C)cc2)cc1,CO,333,430,Yes,222.29,C15H14N2,2.9736,-4.406,2,0,178.85,0.11915,7.6,-3.1042,2,570
141,CCOC(=O)c1c(CSc2ccccc2)n(C)c2cc(Br)c(O)c(CN(C)C)c12,O,275,350,Yes,477.422,C22H25BrN2O3S,4.1689,-4.75,5,1,327.66,0.19548,80,-1.164,8,2100
3691,COc1ccc2cc(-c3ccc([N+](=O)[O-])cc3)ccc2c1,ClC(Cl)Cl,346,573,Yes,279.294,C17H13NO3,3.5216,-5.786,4,0,213.55,0.18928,55.05,-7.1382,3,1004
4004,COc1ccc(-c2nc(-c3cccc(OC)c3)[nH]c2-c2ccc(OC)cc2)cc1,CO,300,399,Yes,386.45,C24H22N2O3,4.7532,-6.186,5,1,307.65,0.17864,56.37,0.81323,6,2267
3762,[C-]#[N+]c1ccc(-c2ccc(N)cc2)cc1,CCCCCC,301,353,Yes,194.236,C13H10N2,2.3999,-4.446,2,1,152.55,0.21652,30.38,-5.2405,1,392
85,c1cc2ccc3ccc(OP4(Oc5ccc6ccc7cccc8ccc5c6c78)=NP(Oc5ccc6ccc7cccc8ccc5c6c78)(Oc5ccc6ccc7cccc8ccc5c6c78)=NP(Oc5ccc6ccc7cccc8ccc5c6c78)(Oc5ccc6ccc7cccc8ccc5c6c78)=N4)c4ccc(c1)c2c34,ClCCl,343,459,Yes,1438.42,C96H54N3O6P3,26.688,-37.79,9,0,980.19,0.10697,123.48,-11.18,12,55800
6237,COc1ccc(-c2cc3c(s2)c(C(C)=O)cc(=O)n3Cc2ccccc2)cc1,CC#N,420,515,Yes,389.474,C23H19NO3S,3.898,-5.497,4,0,294.01,0.20404,74.85,3.3615,5,2021
3264,Cc1cc(=O)c2ccc(N)cc2o1,CO,327,421,Yes,175.186,C10H9NO2,1.4009,-2.99,3,1,133,0.28805,52.32,-6.5166,0,226
6613,C=Cc1cc(OC)cc(OC)c1,C1CCCCC1,299,341,Yes,164.203,C10H12O2,2.2225,-2.457,2,0,142.32,0.14053,18.46,-4.6435,3,198
10979,O=c1c(Nc2ccccc2)c([O-])c1=[NH+]c1ccccc1,CO,390,498,Yes,266.299,C16H12N2O2,1.8573,-3.495,4,3,201.96,0.24292,61.36,2.2008,4,894
6831,O=C1c2ccccc2-c2ccc(N3CCN(c4ccccc4)CC3)c3cccc1c23,CN(C)C=O,447.2,602,Yes,390.485,C27H22N2O,5.6439,-7.772,3,0,293.77,0.068557,23.55,4.9001,2,2429
1524,N#CC1=C(c2ccc(-c3cccs3)s2)CCC1,CCO,366,443,Yes,257.38,C14H11NS2,4.164,-4.919,1,0,197.31,0.2751,80.27,-5.073,2,527
3558,COc1ccc2nc3c(nc2c1)c(-c1ccccc1)nn3C,CC#N,434,507,Yes,290.325,C17H14N4O,2.562,-4.226,5,0,222.22,0.22401,52.83,2.283,2,1006
6226,Cn1c(=O)cc(C(=O)c2ccccc2)c2sc(-c3ccc(OC(F)(F)F)cc3)cc21,ClCCl,400,518,Yes,429.417,C22H14F3NO3S,4.8011,-6.573,4,0,297.45,0.20168,74.85,-4.6629,5,2557
6933,CN(C)CCCN1c2ccccc2Sc2ccc(C(F)(F)F)cc21,CO,310,463,Yes,352.423,C18H19F3N2S,4.8492,-4.843,2,0,252.87,0.097244,31.78,-1.607,5,1286
2346,COC(=O)C(Cc1ccc2oc(-c3ccc(N(C)c4ccccc4)cc3)nc2c1)NC(=O)OC(C)(C)C,ClCCl,350.59,476.01,Yes,501.581,C29H31N3O5,4.5733,-8.015,8,1,391.06,0.22035,93.9,-54.422,10,5149
3561,CCCCN(CCCC)c1ccc2nc3c4ccccc4c(=O)c(-c4ccccc4)c-3oc2c1,ClCCl,549,625,Yes,450.58,C30H30N2O2,6.5238,-7.035,4,0,356.8,0.10678,41.9,1.7383,8,3340
11104,O=S(=O)([O-])CCCOc1ccc(C2=[N+]3C(=Nc4c(-c5ccccc5)cc(-c5ccc(OCc6cn([C@@H]7O[C@H](CO)[C@@H](O)[C@@H](O)[C@H]7O)nn6)cc5)n4[B-]3(F)F)C(c3ccccc3)=C2)cc1,O,689,722,Yes,893.707,C44H40BF2N6O10S,0.263,-10.312,16,4,626.76,0.28207,233.87,-18.935,14,21000
6268,CCN(CC)c1ccc(-c2cc3c(s2)c(C(=O)OC)cc(=O)n3C)cc1,CO,444,503,Yes,370.472,C20H22N2O3S,3.0091,-4.473,5,0,282.83,0.22466,78.09,2.1273,6,1718
5244,c1ccc(-c2nc(-c3ccccc3)nc(-c3ccc(-n4c5ccccc5c5cc6c(cc54)C(c4ccccc4)(c4ccccc4)c4ccccc4-6)cc3)n2)cc1,Cc1ccccc1,366,442,Yes,714.87,C52H34N4,12.03,-21.541,4,0,543.17,0.073237,43.6,0.46608,6,12600
10103,CC1=[N+]2C(=C(c3ccc(C#N)cc3)c3ccc(C)n3[B-]2(F)F)C=C1,CO,513,538,Yes,321.137,C18H14BF2N3,2.5123,-6.523,3,0,239.66,0.10335,40.4,-6.1184,1,1169
13813,F[B-]1(F)OC(c2ccccc2)=Cc2cc3[n+](c[n+]21)[B-](F)(F)OC(c1ccccc1)=C3,ClCCl,475,490,Yes,411.957,C20H14B2F4N2O2,3.0316,-8.098,4,0,279.2,0.080372,35.24,-5.0829,2,2345
12566,F[B-]1(F)OC(c2ccccc2)=Nc2sc(-c3ccccc3)n[n+]21,CC#N,330,415,Yes,329.137,C15H10BF2N3OS,3.3009,-4.344,4,0,228.95,0.23612,71.11,-3.1334,2,1165
4893,COC(=O)C(Cc1ccc2oc(-c3c4ccccc4cc4ccccc34)nc2c1)NC(=O)OC(C)(C)C,C1CCCCC1,383.5,484,Yes,496.561,C30H28N2O5,6.4067,-9.171,7,1,377.94,0.21861,90.66,-55.463,8,4569
14917,c1ccc(Cn2c3sccc3c3c4nsnc4c4c5ccsc5n(Cc5ccccc5)c4c32)cc1,Cc1ccccc1,424,508,Yes,506.677,C28H18N4S3,7.3064,-4.136,4,0,357.04,0.27101,120.36,3.3224,4,3162
6,CCN(CC)c1ccc2c(C)cc(=O)oc2c1,C1CCCCC1,350,395,Yes,231.294,C14H17NO2,2.2846,-2.735,3,0,186.82,0.14233,29.54,-4.5644,3,506
12427,CN(C)c1ccc(/C=C/c2cc[n+](C)c3ccccc23)cc1,CC#N,536,703,Yes,289.401,C20H21N2,0.1554,-4.157,2,0,238.5,0.026457,7.12,0.17075,3,1160
5279,N#Cc1cc(N2c3ccccc3Sc3ccccc32)cc(N2c3ccccc3Sc3ccccc32)c1,Cc1ccccc1,343,536,Yes,497.645,C31H19N3S2,7.8496,-12.141,3,0,362.59,0.15345,80.87,-3.7242,2,3530
14549,CCC1(CC)c2ccccc2-c2c1c1c(c3c2C(CC)(CC)c2cc(N(c4ccccc4)c4ccccc4)ccc2-3)C(CC)(CC)c2cc(N(c3ccccc3)c3ccccc3)ccc2-1,CC#N,357,402,Yes,845.183,C63H60N2,16.748,-18.407,2,0,659.03,0.010773,6.48,0.952,12,16100
1443,OC1(c2ccc(-c3cccs3)s2)CCCCC1,CC#N,309,466,Yes,264.412,C14H16OS2,4.5724,-4.919,1,1,196.96,0.27325,76.71,-1.8306,2,516
15991,CCCCCCCCCCCCc1sc(CCCCCCCCCCCC)c2c3ccsc3c3sccc3c12,ClC(Cl)Cl,383,425,Yes,583.023,C36H54S3,15.088,-12.226,0,0,492.12,0.12412,84.72,-16.815,22,6404
